salary_min,salary_max,salary_mean,rating_mean,rating_count,contract_contrat pro,contract_intérim,contract_temps plein,contract_indépendant,contract_cdd,contract_temps partiel,contract_cdi,contract_stage,contract_commission,contract_apprentissage,mode_an,mode_heure,mode_jour,mode_mois,mode_semaine,query_data+scientist,query_business+intelligence,query_data+analyst,query_developpeur
35000.0,45000.0,40000.0,3.4,81,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
38000.0,38000.0,38000.0,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
14400.0,14400.0,14400.0,0.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
40000.0,40000.0,40000.0,5.0,4,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
50000.0,50000.0,50000.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
40000.0,45000.0,42500.0,5.0,5,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
40000.0,45000.0,42500.0,5.0,5,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
35000.0,35000.0,35000.0,5.0,3,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1
35000.0,40000.0,37500.0,3.5,4,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0
23268.0,36492.0,29880.0,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
35000.0,35000.0,35000.0,5.0,3,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1
