salary_min,salary_max,salary_mean,rating_mean,rating_count,contract_contrat pro,contract_intérim,contract_temps plein,contract_indépendant,contract_cdd,contract_temps partiel,contract_cdi,contract_stage,contract_commission,contract_apprentissage,query_data+scientist,query_business+intelligence,query_data+analyst,query_developpeur,mode_an
,,,3.5,318,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
,,,3.9,74,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1
,,,0.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
,,,0.0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1
,,,3.9,10,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
,,,0.0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1
,,,3.0,3,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
,,,3.6,19,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
,,,3.6,19,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
,,,0.0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1
35000.0,45000.0,40000.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
,,,0.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1
,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
,,,3.6,19,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
,,,3.8,19,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
35000.0,35000.0,35000.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
,,,0.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
,,,0.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
,,,0.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
,,,3.8,19,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
,,,0.0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1
103200.0,103200.0,103200.0,4.3,3,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1
24000.0,30000.0,27000.0,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1
,,,4.3,9,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1
21960.0,37440.0,29700.0,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1
38000.0,38000.0,38000.0,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1
33000.0,36000.0,34500.0,3.9,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
,,,5.0,5,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1
,,,5.0,5,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1
,,,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1
,,,5.0,5,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1
,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
30000.0,36000.0,33000.0,4.1,13,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
30000.0,35000.0,32500.0,4.1,13,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
,,,5.0,5,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1
25980.0,34800.0,30390.0,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1
30000.0,40000.0,35000.0,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1
,,,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
10800.0,10800.0,10800.0,0.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1
30000.0,40000.0,35000.0,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1
,,,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
,,,5.0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
,,,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1
,,,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
,,,3.6,452,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1
,,,3.2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
,,,3.6,2837,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1
,,,3.1,9,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1
35000.0,38000.0,36500.0,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1
,,,4.1,13,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
,,,2.5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
,,,4.0,24,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1
,,,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1
25000.0,35000.0,30000.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
,,,3.5,67,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
,,,0.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1
,,,2.5,11,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
,,,0.0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1
,,,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
30000.0,40000.0,35000.0,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1
32000.0,42000.0,37000.0,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1
,,,3.0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1
,,,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
,,,3.0,4,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1
,,,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1
,,,3.3,10,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
103200.0,103200.0,103200.0,4.3,3,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1
,,,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
,,,0.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
,,,4.1,5703,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
,,,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
,,,5.0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
,,,3.7,341,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
,,,3.0,3,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1
,,,0.0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1
,,,3.9,17,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
,,,3.3,49,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
,,,0.0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1
,,,4.7,10,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1
32000.0,37000.0,34500.0,4.1,13,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1
,,,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
,,,4.0,119,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1
,,,4.0,2930,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
,,,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
,,,3.9,9,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
,,,4.1,2483,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
,,,3.8,13,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
,,,0.0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
,,,4.1,2483,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
,,,3.6,19,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1
,,,0.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
,,,4.1,2483,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
21600.0,21600.0,21600.0,0.0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1
,,,4.1,4065,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1
9600.0,18600.0,14100.0,0.0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1
,,,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
,,,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
,,,4.0,119,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1
,,,3.4,105,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
,,,4.2,5249,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
30942.0,45690.0,38316.0,3.0,2,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1
,,,4.1,574,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1
,,,4.1,2483,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
,,,4.7,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
,,,3.9,13453,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
,,,3.0,3,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
,,,3.2,17,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1
,,,3.1,39,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
