salary_min,salary_max,salary_mean,rating_mean,rating_count,contract_contrat pro,contract_intérim,contract_temps plein,contract_indépendant,contract_cdd,contract_temps partiel,contract_cdi,contract_stage,contract_commission,contract_apprentissage,mode_an,mode_heure,mode_jour,mode_mois,mode_semaine,query_data+scientist,query_business+intelligence,query_data+analyst,query_developpeur
35000.0,42000.0,38500.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
30000.0,40000.0,35000.0,3.9,7,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
35000.0,42000.0,38500.0,0.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
30000.0,35000.0,32500.0,0.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
25000.0,30000.0,27500.0,0.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
30000.0,45000.0,37500.0,0.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
30858.0,49747.0,40302.5,0.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
40000.0,42000.0,41000.0,3.6,854,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
40000.0,40000.0,40000.0,0.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
35000.0,45000.0,40000.0,0.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
84000.0,84000.0,84000.0,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
28000.0,45000.0,36500.0,0.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
40000.0,55000.0,47500.0,0.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
30000.0,40000.0,35000.0,0.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
45000.0,45000.0,45000.0,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
30000.0,45000.0,37500.0,0.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
38000.0,43000.0,40500.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
32000.0,38000.0,35000.0,4.1,13,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
30000.0,35000.0,32500.0,4.1,13,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
40000.0,50000.0,45000.0,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
30000.0,40000.0,35000.0,4.3,16,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
36000.0,40000.0,38000.0,0.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
30000.0,35000.0,32500.0,3.7,3,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
23000.0,29000.0,26000.0,0.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
42000.0,50000.0,46000.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
37000.0,45000.0,41000.0,4.1,13,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
35000.0,38000.0,36500.0,3.6,854,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
35000.0,40000.0,37500.0,4.5,4,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
30000.0,40000.0,35000.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
32000.0,36000.0,34000.0,4.5,4,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
32152.0,53502.0,42827.0,3.0,2,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
40000.0,50000.0,45000.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
25000.0,40000.0,32500.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
35000.0,38000.0,36500.0,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
35000.0,45000.0,40000.0,0.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
30000.0,40000.0,35000.0,3.7,477,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
45000.0,50000.0,47500.0,4.5,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
40000.0,40000.0,40000.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
40000.0,40000.0,40000.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
50000.0,50000.0,50000.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
45000.0,45000.0,45000.0,3.5,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
38000.0,42000.0,40000.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
42000.0,42000.0,42000.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
25000.0,45000.0,35000.0,3.0,2,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
40000.0,55000.0,47500.0,3.8,36,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
28000.0,45000.0,36500.0,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
31200.0,40800.0,36000.0,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
30000.0,35000.0,32500.0,3.3,104,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
38000.0,43000.0,40500.0,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
