salary_min,salary_max,salary_mean,rating_mean,rating_count,contract_contrat pro,contract_intérim,contract_temps plein,contract_indépendant,contract_cdd,contract_temps partiel,contract_cdi,contract_stage,contract_commission,contract_apprentissage,query_data+scientist,query_business+intelligence,query_data+analyst,query_developpeur,mode_an
,,,3.4,32,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1
30000.0,35000.0,32500.0,0.0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1
,,,0.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
,,,0.0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1
,,,0.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
,,,4.0,6530,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
,,,3.2,509,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
,,,5.0,6,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1
,,,4.2,1635,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1
,,,3.8,19,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
,,,3.1,14,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
,,,4.2,1635,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1
,,,4.0,537,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
,,,3.8,19,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
,,,3.6,19,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
,,,3.8,19,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
,,,0.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
,,,3.1,14,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
,,,3.8,20,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1
,,,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
,,,3.6,724,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1
23000.0,25000.0,24000.0,0.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1
,,,3.7,2050,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1
,,,3.8,81,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
33000.0,38000.0,35500.0,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1
,,,4.0,3,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1
,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
,,,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
,,,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
,,,3.0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1
,,,3.8,1052,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
27600.0,27600.0,27600.0,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1
30000.0,40000.0,35000.0,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1
,,,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
,,,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1
,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
28377.0,45703.0,37040.0,3.4,27,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1
33000.0,39000.0,36000.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
,,,4.0,2658,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1
,,,3.3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
30000.0,33000.0,31500.0,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1
,,,4.2,1642,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
,,,4.2,1642,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
